date,floors ,bedrooms,sqft_living,sqft_lot,sqft_basement,yr_built,condition,grade,price
160301,3,3,1164,360677,1164,1972,0.666666667,0.4,315000
160112,3,3,1474,222156,1180,1974,0.666666667,0.4,238500
160112,3,3,1474,222156,1180,1974,0.666666667,0.4,238500
161212,2,2,2240,271814,1120,1920,0.5,0.4,200000
160502,2,5,5026,871636,2636,2004,0.666666667,0.8,775000
160907,1,1,960,178596,960,1960,0.5,0.4,145000
160524,1,3,1437,54450,1437,1972,0.666666667,0.4,208000
160525,1,2,808,232175,448,1940,0.666666667,0.2,182000
160711,1.5,3,1534,179032,1064,1916,0.5,0.4,180000
160616,2,3,1802,218236,1048,1989,0.666666667,0.4,315000
160601,1,3,1844,135472,1903,2015,0.666666667,0.4,438028
160721,1,3,2310,426888,1848,1993,0.666666667,0.4,290000
161101,1,3,1919,423403,1419,1973,0.833333333,0.4,270000
160912,1,3,1296,397703,0,1983,0.333333333,0.2,165000
160907,1,3,1771,158994,1770,2016,0.666666667,0.4,371628
160803,1,3,1891,226512,1800,1997,0.666666667,0.4,405000
160324,1,2,1376,130680,1352,2001,0.666666667,0.4,276500
160324,1,2,1376,130680,1352,2001,0.666666667,0.4,276500
160406,1.5,3,2478,232175,816,1973,0.666666667,0.4,339900
161108,1.5,3,2205,811523,1512,2005,0.666666667,0.6,492000
160706,1.5,3,3152,414256,1752,1999,0.666666667,0.4,469900
160914,1,3,1716,426017,1694,1997,0.666666667,0.4,400000
160713,1,1,1551,135036,1535,1999,0.666666667,0.4,340000
160705,1,3,1604,133294,1604,1999,0.666666667,0.4,328000
160726,1,3,1662,175111,1662,2010,0.666666667,0.4,375000
160921,1,3,1734,44867,1734,2006,0.666666667,0.4,330000
160525,1,2,1644,44867,1644,2002,0.666666667,0.4,318500
160620,1,2,1613,53143,1590,2000,0.666666667,0.4,350000
160720,2,3,2157,42689,1061,2011,0.666666667,0.4,292500
161223,2,5,2460,131987,1230,2016,0.666666667,0.4,380000
160608,1,2,1588,140263,1588,2016,0.666666667,0.4,310859
160729,1,3,1318,162043,1307,2016,0.666666667,0.4,281539
161129,1,3,1528,130680,1528,2016,0.666666667,0.4,326485
160217,1,2,1624,30928,1624,2015,0.666666667,0.4,412316
161109,1,3,1980,37026,1971,2016,0.666666667,0.4,425741
160414,1,2,1670,30056,1670,2015,0.666666667,0.4,350000
160705,1,2,1797,586753,1500,1963,0.666666667,0.4,465000
161219,1,3,1910,84942,1334,1974,0.666666667,0.4,257000
160126,1.5,3,1430,221285,768,1925,0.5,0.4,190000
160223,1,2,936,204296,936,1970,0.666666667,0.4,225000
160105,1,3,1352,217800,1350,1990,0.666666667,0.2,205000
161014,1,3,1950,148540,1950,2004,0.666666667,0.4,410000
160601,1.5,3,1680,227819,0,1900,0.666666667,0.4,216500
160930,1.5,6,2200,187744,1196,1900,0.833333333,0.4,355000
161117,1.5,2,2480,421661,0,1982,0.666666667,0.4,337000
160104,3,3,1792,80586,1216,1976,0.666666667,0.4,265000
160804,1.5,4,2074,80150,0,1850,0.5,0.4,189000
160219,3,3,1384,196891,1104,1979,0.666666667,0.4,279900
160515,1,3,1323,513137,1323,1979,0.666666667,0.4,315000
160427,1,3,1454,132422,1454,2015,0.666666667,0.4,253000
161031,1,3,1440,341075,1440,1991,0.666666667,0.4,290000
160525,2,3,1182,229561,650,1980,0.666666667,0.4,231000
160912,2,3,1982,130680,1106,1999,0.666666667,0.4,349900
161003,1,3,1808,182081,1808,2003,0.666666667,0.4,310000
161122,2,3,2891,154202,1102,2016,0.666666667,0.4,325000
160302,1,3,1434,176854,1420,2003,0.666666667,0.4,291000
160401,1,3,1620,131551,1620,1960,0.833333333,0.4,234000
160413,1,2,1546,270072,1546,2015,0.666666667,0.4,359607
160711,1,3,1438,228254,1438,2015,0.666666667,0.4,263165
161007,1,2,936,10019,0,1953,0.666666667,0.2,121050
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160511,2,3,1048,11326,528,1979,0.666666667,0.4,149500
161122,2,3,1032,10890,528,1992,0.666666667,0.4,141000
160810,2,3,900,9583,572,1980,0.666666667,0.4,140000
161228,2,3,900,9583,572,1980,0.666666667,0.4,140000
161021,1,3,960,10890,0,1982,0.5,0.4,85000
161207,1,3,999,9148,999,1969,0.5,0.2,132000
160927,2,2,892,12197,816,1966,0.833333333,0.4,172000
161019,2,2,892,9583,812,1965,0.666666667,0.2,122000
160826,1,2,902,8276,864,1966,0.666666667,0.2,113000
160105,2,3,994,8712,960,1967,0.666666667,0.4,126000
160829,1,3,999,9148,999,1972,0.666666667,0.2,125000
160416,2,3,1126,10454,528,1996,0.666666667,0.4,146500
160711,1,3,1292,9148,1246,1999,0.666666667,0.4,164000
160927,3,3,1566,11761,576,1997,0.666666667,0.4,190000
161205,1,3,1524,12197,1444,1998,0.666666667,0.4,200000
161205,1,3,1524,12197,1444,1998,0.666666667,0.4,200000
160421,1,2,875,15682,875,1950,0.666666667,0.2,120500
160719,1.5,4,1802,37026,840,1921,0.666666667,0.4,165000
160603,1,2,1120,10890,1120,1956,0.5,0.2,98000
161223,1,3,960,6098,960,1959,0.666666667,0.2,128500
161020,1.5,1,1848,61420,1254,1918,0.833333333,0.4,341000
161020,1.5,1,1848,61420,1254,1918,0.833333333,0.4,341000
160129,1,3,1026,9148,1026,1967,0.666666667,0.2,149000
160526,1,3,936,9583,936,1970,0.666666667,0.2,135000
160727,2,3,1198,10890,668,1968,0.666666667,0.4,145000
160314,1,2,2340,13068,1296,1962,0.666666667,0.4,175000
160314,1,2,2340,13068,1296,1962,0.666666667,0.4,175000
160720,1,3,1365,12632,1365,1963,0.666666667,0.4,175000
160513,1,3,1702,11326,1310,1977,0.666666667,0.4,215000
160518,1,3,1429,8712,1050,1972,0.666666667,0.4,179900
160208,3,4,1984,10454,528,1997,0.666666667,0.4,180000
160916,3,3,1278,10454,588,1995,0.666666667,0.4,187000
160901,2,3,1368,11761,650,1995,0.666666667,0.4,169000
160309,1,2,1340,11761,1340,2016,0.833333333,0.4,246000
161025,RR,3,978,8712,672,1974,0.666666667,0.4,116000
161031,1,3,1018,9148,1000,1974,0.666666667,0.4,125000
160808,1,2,1269,12632,918,1964,0.666666667,0.4,175000
160504,2,5,1620,10890,948,1900,0.666666667,0.4,163000
160401,1,3,1135,42689,1135,1960,0.666666667,0.4,144900
161219,1.5,3,1218,13939,864,1926,0.833333333,0.4,168000
160609,2,3,1264,13939,525,1900,0.833333333,0.4,135000
160922,1,2,1241,12197,825,1965,0.666666667,0.4,167500
161028,1,2,1564,20909,298,1935,0.666666667,0.4,132000
160525,2,3,1028,9148,672,1976,0.833333333,0.4,149900
160726,2,3,1164,9148,520,1987,0.666666667,0.4,174000
160720,2,3,2028,6970,338,1900,0.833333333,0.4,225500
160413,1,3,1288,6534,1288,1965,0.5,0.4,145000
160310,2,3,994,12197,672,1974,0.5,0.4,105000
160125,1,3,991,9148,871,1972,0.666666667,0.4,111000
160720,2,3,1354,8712,1152,1975,0.666666667,0.4,145000
160330,2,3,994,14810,672,1975,0.5,0.4,115000
160512,1,2,1158,10454,888,1925,0.666666667,0.2,78000
160512,1,2,1158,10454,888,1925,0.666666667,0.2,78000
160523,1,3,1302,19602,1296,1997,0.666666667,0.4,212500
161216,1.5,3,1080,10454,780,1935,0.666666667,0.2,111000
161031,2,3,1631,14375,310,1900,0.666666667,0.4,105000
160603,2,3,1859,13068,681,1995,0.666666667,0.4,232500
160411,1,3,1224,9583,1176,1995,0.666666667,0.4,166500
160519,1,2,1470,12197,1470,1988,0.666666667,0.4,205000
161109,1,3,1578,12632,1578,1990,0.833333333,0.4,222390
160716,1,2,1545,11326,1545,2020,1,0.4,318911
160322,1,2,864,6970,0,1900,0.666666667,0.2,68500
161027,2,5,2152,6970,0,1925,0.666666667,0.4,160000
160928,1.5,3,1897,14810,899,1900,0.333333333,0.4,121000
160601,1,2,1108,7841,0,1960,0.666666667,0.2,88000
161013,1,2,922,22216,0,1900,0.833333333,0.2,125000
160711,1,2,1448,74052,0,1900,0.833333333,0.2,154900
160711,1,2,1448,74052,0,1900,0.833333333,0.2,154900
160711,1,2,1448,74052,0,1900,0.833333333,0.2,154900
160711,1,2,1448,74052,0,1900,0.833333333,0.2,154900
160426,1,2,1423,23087,1423,1968,0.666666667,0.4,175000
161017,1,2,1375,16553,1363,1996,0.666666667,0.4,196500
161011,2,2,1156,7405,0,1998,0.666666667,0.2,110000
161212,1.5,4,1242,16117,0,1920,0.5,0.2,104000
160105,1,3,1056,13504,1056,1980,0.333333333,0,93000
161013,1,3,1149,12197,1072,1988,0.666666667,0.4,147000
160812,1,2,1216,21780,832,1920,0.5,0.2,79000
160308,1,2,1619,10454,1243,2007,0.666666667,0.4,215000
160928,1,3,1346,12197,1336,2010,0.833333333,0.4,187000
161028,1,3,1264,9148,1264,2015,0.833333333,0.4,203000
161108,1,3,1241,9148,1241,2015,0.833333333,0.4,204900
160617,1,3,1263,9148,1264,2015,0.833333333,0.4,202900
160801,1,3,1372,8712,1346,2007,0.666666667,0.4,215000
161011,1,3,1130,8276,1124,2016,0.833333333,0.4,174204
161011,1,3,1130,8276,1124,2016,0.833333333,0.4,174204
160121,1,3,1311,8712,1292,2015,0.833333333,0.4,185000
160121,1,3,1311,8712,1292,2015,0.833333333,0.4,185000
160926,1,3,1545,9148,1545,2016,0.833333333,0.4,223640
160527,1,3,1225,8276,1225,2007,0.666666667,0.4,208000
160914,1,2,1102,16553,998,1967,0.666666667,0.4,110000
160714,1,3,1308,16553,0,1988,0.333333333,0,84750
160608,1,2,729,21780,0,1920,0,0.2,32000
161216,2,2,864,10890,864,1940,0.5,0.4,110600
160313,1,3,1266,9148,1246,2002,0.666666667,0.4,170000
160309,1,3,1232,11326,1232,2003,0.666666667,0.4,174000
161121,1,3,1500,13068,1500,1999,0.666666667,0.4,230000
160823,1,3,1703,29621,1685,2000,0.666666667,0.4,240000
161220,1.5,3,1224,19602,0,1920,0.666666667,0.2,118500
161129,1,3,1384,15246,1362,2016,0.833333333,0.4,226423
161117,1,2,1554,12632,1554,2016,0.833333333,0.4,293316
160318,1,2,1212,26572,1212,1910,0.666666667,0.4,175000
161014,1,3,1590,19602,1590,2001,0.666666667,0.4,265000
160525,2,4,2520,44867,1260,2013,0.833333333,0.4,245900
160606,1.5,3,1248,19166,864,1926,0.5,0.2,77500
160913,1,3,1512,21344,0,1997,0.333333333,0,113000
160705,1,1,922,13068,672,1920,0.666666667,0.2,93400
160423,3,3,1126,14375,520,1995,0.666666667,0.4,175000
160926,1.5,3,1868,22216,0,1910,0.5,0.4,113000
160502,1,3,1720,12197,1720,2014,0.833333333,0.4,215000
160923,1,3,1400,22216,1400,2005,0.666666667,0.4,182900
160426,1,2,1455,8712,336,1965,0.666666667,0.2,115000
160308,1,3,1752,13068,1752,2006,0.5,0.2,182000
160310,1,3,1662,17424,1614,2005,0.666666667,0.4,192000
160310,1,3,1662,17424,1614,2005,0.666666667,0.4,192000
160727,2,3,1028,6970,672,1977,0.666666667,0.4,120000
160113,RR,1,936,14375,936,1980,0.5,0.2,90000
160615,1,2,1094,21780,667,1920,0.666666667,0.4,87000
160610,1,3,1232,9583,1232,1950,0.666666667,0.2,101000
160504,1,2,1056,8712,1056,2015,0.833333333,0.2,126000
160408,1,2,870,8276,480,1900,0.666666667,0.2,52967
160324,1,2,1080,21780,300,1900,0.666666667,0.2,137601
160831,2,3,2038,10890,840,1983,0.666666667,0.4,165000
161209,1,3,936,9148,936,1977,0.666666667,0.2,108000
160601,1,3,936,9148,936,1977,0.666666667,0.2,101500
161104,1,3,936,9148,936,1977,0.666666667,0.2,158000
160623,2,3,1636,16988,946,1920,0.666666667,0.2,164000
160505,2,4,2574,23087,1272,1920,0.166666667,0.4,125000
160505,2,4,2574,23087,1272,1920,0.166666667,0.4,125000
161118,1,3,1559,11326,1533,2001,0.666666667,0.4,265000
161227,2,3,2301,12632,1181,2000,0.666666667,0.4,267000
161119,1,3,1572,10454,1566,2003,0.666666667,0.4,265900
160512,1,3,1545,10454,1545,2001,0.666666667,0.4,250000
160822,1,3,1660,10454,1644,2002,0.666666667,0.4,280100
160715,1,3,1630,10454,1604,2001,0.666666667,0.4,248000
160928,1,2,1495,10890,1490,2005,0.666666667,0.4,250000
160406,1,3,1724,9148,1696,2013,0.833333333,0.4,283000
161006,1,3,1770,8712,1770,2016,0.833333333,0.4,349905
161024,1,3,1743,12197,1743,2016,0.833333333,0.4,380887
160216,1,3,1787,8712,1787,2015,0.833333333,0.4,359800
160721,1,3,1656,9583,1656,2016,0.833333333,0.4,344915.17
160626,1,3,1290,9148,1290,2006,0.666666667,0.4,210000
161214,1,3,1228,6970,1206,2013,0.833333333,0.4,214500
160711,3,3,1222,8276,525,2006,0.666666667,0.4,179900
160711,3,3,1222,8276,525,2006,0.666666667,0.4,179900
161005,2,4,1737,9583,736,2006,0.666666667,0.4,206500
160914,1,3,1452,9583,1428,2007,0.666666667,0.4,246500
160405,1,3,1320,6534,1320,2015,0.833333333,0.4,224625
160405,1,2,1195,7841,1195,2015,0.833333333,0.4,191750
160601,1,3,1246,10454,1144,2003,0.666666667,0.4,220000
161216,2,3,1274,11326,552,2004,0.666666667,0.4,205000
160530,2,3,1223,7841,584,2004,0.666666667,0.4,183000
161021,2,3,1626,9148,720,2004,0.666666667,0.4,232950
160928,2,3,1596,8712,713,2008,0.666666667,0.4,213000
160805,3,2,1106,9583,1098,2007,0.666666667,0.4,189000
161221,1,3,1308,8276,1288,2006,0.666666667,0.4,214000
161220,1,3,1476,11326,1476,2010,0.833333333,0.4,230000
160628,1,2,1491,10890,1491,2010,0.833333333,0.4,272000
160928,2,3,1536,9583,652,2016,0.833333333,0.4,214950
160120,1,3,1652,10454,1652,2015,0.833333333,0.4,249000
161202,1,2,1543,9148,1497,2016,0.833333333,0.4,254000
160204,1,3,1406,10454,1406,2015,0.833333333,0.4,226940
160224,2,4,2470,11326,1056,2015,0.833333333,0.4,244606
161223,2,4,1890,10454,708,2016,0.833333333,0.4,240165
161220,2,4,2792,8712,1280,2016,0.833333333,0.4,286689
160630,1,3,1540,8276,1540,2016,0.833333333,0.4,273073
160127,1,4,1612,8712,1612,2015,0.833333333,0.4,289811
161207,2,4,2792,9148,1280,2016,0.833333333,0.4,299764
160921,1,3,1429,8276,1429,2016,0.833333333,0.4,257500
160504,1,3,1712,9583,1706,2000,0.666666667,0.4,255000
160929,1,3,1353,8712,1319,2002,0.666666667,0.4,224900
161117,1,3,1362,8276,1350,2002,0.666666667,0.4,213000
160613,2,3,1716,10454,838,2003,0.666666667,0.4,210000
160601,1,3,1470,13068,1470,2004,0.666666667,0.4,267500
161207,1,3,1663,12632,1608,2003,0.666666667,0.4,310000
160909,2,4,2130,8712,904,2016,0.833333333,0.4,252000
160819,1,2,1040,9583,1040,2006,0.666666667,0.4,182500
160526,1,3,1912,12197,1896,2005,0.666666667,0.4,288000
160622,1,3,1434,15246,1408,2008,0.666666667,0.4,234500
160722,1,3,1180,10454,1180,2011,0.833333333,0.4,210000
161128,2,3,1608,7841,726,2015,0.833333333,0.4,219000
161102,1.5,3,1491,11326,1011,2006,0.666666667,0.4,212500
160711,1,3,1505,11761,1493,2016,0.833333333,0.4,284900
160414,1,3,1759,11761,1677,2015,0.833333333,0.4,327965
161208,1.5,2,1925,10890,1471,2011,0.833333333,0.4,303500
160603,1,3,1442,8712,1442,2016,0.833333333,0.4,250000
161102,1,3,1536,10454,1536,2016,0.833333333,0.4,301349
161202,1,3,1556,10454,1556,2013,0.833333333,0.4,292500
160305,2,3,1218,8276,642,2009,0.666666667,0.4,175000
161102,1,3,1213,8276,1196,2008,0.666666667,0.4,193000
160802,1,3,1128,6534,1122,2008,0.666666667,0.4,175000
160804,2,3,1526,8276,660,2008,0.666666667,0.4,233500
160310,1,3,1612,11761,1612,2015,0.833333333,0.4,232000
161118,1,3,1601,8276,1589,2013,0.833333333,0.4,227000
161207,1,3,1134,9583,1134,2008,0.666666667,0.4,186000
160907,2,3,1528,9148,726,2013,0.833333333,0.4,215000
161213,2,3,1632,7405,756,2016,0.833333333,0.4,209350
161024,1,3,1486,10454,1486,2016,0.833333333,0.4,224720
160927,1,3,1435,6098,1435,2016,0.833333333,0.4,230750
160912,2,4,1888,6534,708,2016,0.833333333,0.4,230346
160511,1,3,1465,6970,1465,2015,0.833333333,0.4,220888
160607,2,3,1965,6534,780,2015,0.833333333,0.4,218845
160628,2,4,1960,6534,780,2015,0.833333333,0.4,215100
161108,1.5,4,3664,138956,2246,1996,0.666666667,0.6,520000
160929,1,1,2646,152896,2646,2007,0.666666667,0.6,800000
161215,1.5,5,3386,148975,2049,2016,0.666666667,0.6,792607.65
160627,1.5,5,4689,131116,2914,1990,0.666666667,0.6,573000
160718,2,4,2523,130680,1328,2007,0.666666667,0.4,439900
160114,3,3,1408,43996,1125,2002,0.666666667,0.4,262000
160527,1.5,3,2179,44431,1539,2002,0.666666667,0.6,360900
160623,1,3,2151,209524,2151,2002,0.666666667,0.4,470000
160428,1,2,2786,205168,2963,2003,0.833333333,0.6,730000
160811,1,3,2203,135907,2203,2006,0.666666667,0.4,465000
160615,1,2,2739,68825,2430,2015,0.666666667,0.6,576248
160325,1,3,1781,53579,1735,2001,0.666666667,0.4,332000
161130,1,3,2069,56192,2069,2000,0.666666667,0.4,345000
160705,2,4,3566,47045,2138,2000,0.666666667,0.6,530000
161121,1,2,2038,132422,2038,2013,0.666666667,0.6,544000
160105,1,3,1849,44867,1849,2013,0.666666667,0.6,490000
160909,1,2,1952,43996,1952,2013,0.666666667,0.6,500000
160325,1.5,4,2841,14375,1910,2007,0.666666667,0.6,480000
160511,1,2,2465,14375,2443,2007,0.666666667,0.6,575000
160713,2,4,2280,6970,1122,1900,0.5,0.6,187900
161026,2.5,4,5952,7841,1168,1927,0.666666667,0.6,435000
160728,2.5,4,4271,12632,1935,1930,0.833333333,0.8,749000
160801,1.5,3,2846,15246,2079,1977,0.833333333,0.6,485000
160811,2,4,2571,11761,1424,1926,0.666666667,0.6,360000
160527,2,3,2202,7405,988,1926,0.666666667,0.6,303000
160512,1.5,5,2562,7405,1504,1926,0.5,0.4,215000
161130,2,3,2364,8276,1258,1926,0.833333333,0.6,365000
161007,2,3,2662,6970,1403,1929,0.833333333,0.6,439000
161026,2,2,2462,7841,858,1932,0.5,0.6,270000
160513,2,3,3592,10454,1530,1925,0.833333333,0.6,449900
160721,2,4,4815,8712,1400,1925,0.833333333,0.6,389000
160810,2,4,2070,10454,1008,1926,0.666666667,0.6,263000
161215,2,4,2356,9148,1178,1926,0.833333333,0.6,380000
